title,author,length
Nights of Peace Bedtime Stories for Stressed-Out Adults,Claire Middleton,Length: 3 hrs and 26 mins
How to Talk to Anyone and Lead with Impact,Carl Wolfe,Length: 3 hrs and 26 mins
The Hobbit,J. R. R. Tolkien,Length: 10 hrs and 25 mins
Fast Like a Girl,Dr. Mindy Pelz,Length: 8 hrs and 13 mins
Fluke and the Fantastic Finale,Sam Burns,Length: 5 hrs and 54 mins
All About Love,bell hooks,Length: 6 hrs and 10 mins
The Wind Runner,pirateaba,Length: 36 hrs and 30 mins
A Court of Silver Flames (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 10 hrs
Star Wars: Heir to the Empire,Timothy Zahn,Length: 13 hrs and 9 mins
The Four Agreements,don Miguel Ruiz,Length: 2 hrs and 31 mins
A Feast for Crows,George R.R. Martin,Length: 33 hrs and 51 mins
El Hombre Iluminado [The Sunlit Man],"Brandon Sanderson,Manuel Viciano Delibano - translator",Length: 13 hrs and 43 mins
Democracy Awakening,Heather Cox Richardson,Length: 8 hrs and 28 mins
"Artificially, Intelligently F*cked",Nicholas Settle,Length: 3 hrs and 25 mins
Trust (Pulitzer Prize Winner),Hernan Diaz,Length: 10 hrs and 21 mins
Fusing,J.L. Mullins,Length: 13 hrs and 44 mins
Beware of Chicken 3: A Xianxia Cultivation Novel,Casualfarmer,Length: 23 hrs and 2 mins
On This Bright Day,Susan Peirce Thompson PhD,Length: 12 hrs and 51 mins
Defiance of the Fall 9,"TheFirstDefier,JF Brink",Length: 22 hrs and 34 mins
Baptization,"A.P. Gore,Patricia Jones",Length: 9 hrs and 45 mins
Killing the Witches,"Bill O'Reilly,Martin Dugard",Length: 9 hrs and 3 mins
Cozy Witch Mysteries: Special Edition Box Set of 8 Books,Angela Pepper,Length: 77 hrs
The Creative Act,Rick Rubin,Length: 5 hrs and 45 mins
Return of the Legendary Lord,"Marcus Sloss,Seth Pike",Length: 12 hrs and 36 mins
Deception,Rand Paul,Length: 13 hrs and 45 mins
Back for S'more,Annie Hansen,Length: 9 hrs and 22 mins
Numerology Magic,House of Abundance Publications,Length: 1 hr and 16 mins
Plane Crashes,Oliver Elliott,Length: 3 hrs
Social Skills for Kids (Ages 5-12),Josh Evermore,Length: 4 hrs and 31 mins
The Vampire and the M.D.,J.P. Bowie,Length: 6 hrs and 17 mins
Corrupt,Penelope Douglas,Length: 14 hrs and 37 mins
Rich Dad Poor Dad,Robert T. Kiyosaki,Length: 6 hrs and 9 mins
Elvis,Sally A. Hoedel,Length: 9 hrs and 21 mins
Thunderhead,Neal Shusterman,Length: 13 hrs and 2 mins
Felony Magic,"M.D. Massey,D. William Landsborough",Length: 5 hrs and 54 mins
Mystic Meow,Danielle Garrett,Length: 5 hrs and 45 mins
Before They Are Hanged,Joe Abercrombie,Length: 22 hrs and 39 mins
Ready Player One,Ernest Cline,Length: 15 hrs and 40 mins
Dead Meat,Nick Clausen,Length: 38 hrs and 9 mins
Brutal Secret,Laurelin Paige,Length: 11 hrs and 9 mins
The Fiery Cross,Diana Gabaldon,Length: 55 hrs and 30 mins
Fifty Shades Darker,E. L. James,Length: 19 hrs and 49 mins
The Housemaid,Freida McFadden,Length: 9 hrs and 46 mins
In Another World with My Smartphone: Volume 5,Patora Fuyuhara,Length: 7 hrs and 19 mins
The Gathering Storm,"Robert Jordan,Brandon Sanderson",Length: 32 hrs and 58 mins
Perilous Potions,Amanda M. Lee,Length: 9 hrs
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins
Murder by Invitation,Verity Bright,Length: 9 hrs and 12 mins
Tom Lake,Ann Patchett,Length: 11 hrs and 22 mins
Star Wars: Thrawn Ascendancy (Book II: Greater Good),Timothy Zahn,Length: 16 hrs and 17 mins
Carl's Doomsday Scenario,Matt Dinniman,Length: 11 hrs and 28 mins
Vile Bastards,C.M. Stunich,Length: 14 hrs and 9 mins
Slay the Bully,Rebecca Zung Esq.,Length: 8 hrs and 15 mins
Rich Dad's Cashflow Quadrant,Robert T. Kiyosaki,Length: 8 hrs and 48 mins
The Eye of the World,Robert Jordan,Length: 32 hrs and 55 mins
Still Hung Up on You,Liz Maverick,Length: 2 hrs and 28 mins
He Who Fights with Monsters 6,"Shirtaloon,Travis Deverell",Length: 15 hrs and 49 mins
The Psychology of Money,Morgan Housel,Length: 5 hrs and 48 mins
Married to the Mobster,Leighton Greene,Length: 8 hrs and 27 mins
The Thursday Murder Club,Richard Osman,Length: 12 hrs and 26 mins
The Return of the King,J. R. R. Tolkien,Length: 18 hrs and 19 mins
A Newlywed's Guide to Fortune and Murder,Dianne Freeman,Length: 8 hrs and 33 mins
Thicker than Water,Kerry Washington,Length: 8 hrs and 59 mins
The 48 Laws of Power,Robert Greene,Length: 9 hrs and 52 mins
Warriors of Luxiria Boxed Set,Zoey Draven,Length: 22 hrs and 28 mins
A Little Hatred,Joe Abercrombie,Length: 20 hrs and 20 mins
Towers of Midnight,"Robert Jordan,Brandon Sanderson",Length: 38 hrs and 23 mins
Hellprinces: A LitRPG Adventure,V.A. Lewis,Length: 20 hrs and 11 mins
Pride and Prejudice [Audible Studios],Jane Austen,Length: 12 hrs and 3 mins
Le Fay,Sophie Keetch,Length: Not Yet Known
It’s Not Summer Without You,Jenny Han,Length: 6 hrs and 7 mins
Who's Your Daddy,Lauren Rowe,Length: 10 hrs and 23 mins
One Last Rainy Day: The Legacy of a Prince,Kate Stewart,Length: 11 hrs and 31 mins
The Mister Series Collection: Part One,Louise Bay,Length: 24 hrs and 31 mins
An Echo in the Bone,Diana Gabaldon,Length: 45 hrs and 59 mins
Crush,Tracy Wolff,Length: 18 hrs and 8 mins
All These Worlds,Dennis E. Taylor,Length: 7 hrs and 56 mins
How to Understand Your Bible,Manly P. Hall,Length: 7 hrs and 6 mins
Throne of Glass,Sarah J. Maas,Length: 13 hrs and 3 mins
For the Fans,Nyla K,Length: 22 hrs and 39 mins
The Battle of the Labyrinth,Rick Riordan,Length: 10 hrs and 31 mins
Shadowcroft Academy for Dungeons: Year Three,"James Hunter,Aaron Michael Ritchey",Length: 19 hrs and 52 mins
The Witching Hour,Anne Rice,Length: 50 hrs and 1 min
Only the Dead,Jack Carr,Length: 15 hrs and 17 mins
The Hunger Games: Special Edition,Suzanne Collins,Length: 10 hrs and 35 mins
Shadows of Deceit,"Ian Fortey,Ron Ripley,Scare Street",Length: 7 hrs and 17 mins
Hollows Grove,Lee Jacquot,Length: 2 hrs and 45 mins
The Worlds I See,Fei-Fei Li,Length: 12 hrs and 10 mins
Happy-Go-Lucky,David Sedaris,Length: 7 hrs and 30 mins
The Untitled Books,C.J. Archer,Length: 7 hrs and 59 mins
Primal Hunter 4,Zogarth,Length: 20 hrs and 28 mins
The Legend of Randidly Ghosthound 5,"Noret Flood,puddles4263",Length: 29 hrs and 58 mins
Meditations for Breaking the Habit of Being Yourself,Joe Dispenza,Length: 2 hrs and 27 mins
Red Rising (Part 1 of 2) (Dramatized Adaptation),Pierce Brown,Length: 7 hrs and 31 mins
Smarter Not Harder,Dave Asprey,Length: 8 hrs and 31 mins
Golden Son (Part 1 of 2) (Dramatized Adaptation),Pierce Brown,Length: 8 hrs and 51 mins
If It Bleeds,Stephen King,Length: 15 hrs and 12 mins
Build the Life You Want,"Arthur C. Brooks,Oprah Winfrey",Length: 5 hrs and 54 mins
Five Lies of Our Anti-Christian Age,"Rosaria Butterfield,Kevin DeYoung - foreword",Length: 11 hrs and 33 mins
Warrior Fae,"Caroline Peckham,Susanne Valenti",Length: 29 hrs and 37 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Length: 12 hrs and 10 mins
It Starts with Us,Colleen Hoover,Length: 8 hrs and 41 mins
Fifty Shades Freed,E. L. James,Length: 20 hrs and 59 mins
The Heaven & Earth Grocery Store,James McBride,Length: 12 hrs and 21 mins
Esrahaddon,Michael J. Sullivan,Length: 29 hrs and 32 mins
A Breath of Snow and Ashes,Diana Gabaldon,Length: 57 hrs and 48 mins
Crave,Tracy Wolff,Length: 14 hrs and 56 mins
Defiance of the Fall 6,"TheFirstDefier,JF Brink",Length: 23 hrs and 1 min
The Dark Tower II,Stephen King,Length: 12 hrs and 47 mins
Maybe Someday,Colleen Hoover,Length: 10 hrs and 40 mins
Mushoku Tensei,Rifujin na Magonote,Length: 9 hrs and 22 mins
The Legend of Randidly Ghosthound 5,"Noret Flood,puddles4263",Length: 29 hrs and 58 mins
Meditations for Breaking the Habit of Being Yourself,Joe Dispenza,Length: 2 hrs and 27 mins
Red Rising (Part 1 of 2) (Dramatized Adaptation),Pierce Brown,Length: 7 hrs and 31 mins
Smarter Not Harder,Dave Asprey,Length: 8 hrs and 31 mins
Golden Son (Part 1 of 2) (Dramatized Adaptation),Pierce Brown,Length: 8 hrs and 51 mins
If It Bleeds,Stephen King,Length: 15 hrs and 12 mins
Build the Life You Want,"Arthur C. Brooks,Oprah Winfrey",Length: 5 hrs and 54 mins
Five Lies of Our Anti-Christian Age,"Rosaria Butterfield,Kevin DeYoung - foreword",Length: 11 hrs and 33 mins
Warrior Fae,"Caroline Peckham,Susanne Valenti",Length: 29 hrs and 37 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Length: 12 hrs and 10 mins
It Starts with Us,Colleen Hoover,Length: 8 hrs and 41 mins
Fifty Shades Freed,E. L. James,Length: 20 hrs and 59 mins
The Heaven & Earth Grocery Store,James McBride,Length: 12 hrs and 21 mins
Esrahaddon,Michael J. Sullivan,Length: 29 hrs and 32 mins
A Breath of Snow and Ashes,Diana Gabaldon,Length: 57 hrs and 48 mins
Crave,Tracy Wolff,Length: 14 hrs and 56 mins
Defiance of the Fall 6,"TheFirstDefier,JF Brink",Length: 23 hrs and 1 min
The Dark Tower II,Stephen King,Length: 12 hrs and 47 mins
Maybe Someday,Colleen Hoover,Length: 10 hrs and 40 mins
Mushoku Tensei,Rifujin na Magonote,Length: 9 hrs and 22 mins
