title,author,length
Butcher & Blackbird,Brynne Weaver,Length: 8 hrs and 43 mins
Inheritance,Nora Roberts,Length: 13 hrs and 51 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Length: 11 hrs and 49 mins
The Ashes and the Star-Cursed King,Carissa Broadbent,Length: 18 hrs and 55 mins
Catnip Charms,Danielle Garrett,Length: 5 hrs and 3 mins
Ignition,Seth Ring,Length: 14 hrs
The Gossip and the Grump,Pippa Grant,Length: 11 hrs and 12 mins
Moscow X,David McCloskey,Length: 17 hrs
He Who Fights with Monsters 10,"Shirtaloon,Travis Deverell",Length: 20 hrs
Golden Son (Part 2 of 2) (Dramatized Adaptation),Pierce Brown,Length: 8 hrs and 28 mins
Areté,"Brian Johnson,Phil Stutz - foreword",Length: 28 hrs
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 26 hrs and 28 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 18 hrs and 32 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 21 hrs and 36 mins
Empire of Storms,Sarah J. Maas,Length: 25 hrs and 18 mins
Timeless,Travis Bagwell,Length: 27 hrs and 32 mins
House of Earth and Blood,Sarah J. Maas,Length: 27 hrs and 50 mins
Morning Star,Pierce Brown,Length: 21 hrs and 50 mins
Sherlock Holmes,"Arthur Conan Doyle,Stephen Fry - introductions",Length: 62 hrs and 52 mins
A Dead Man Walking,JD Kirk,Length: 10 hrs and 15 mins
Between Love and Loathing,Shain Rose,Length: 10 hrs and 29 mins
The Great Hunt,Robert Jordan,Length: 26 hrs and 34 mins
All the Little Raindrops,Mia Sheridan,Length: 13 hrs and 51 mins
Move Fast and Fix Things,"Anne Morriss,Frances Frei",Length: 8 hrs and 30 mins
Mystified in Music City,Kristen Painter,Length: 7 hrs and 2 mins
A Murder at Oxford,Magda Alexander,Length: 6 hrs and 21 mins
The Women,Kristin Hannah,Length: 15 hrs
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 18 mins
Queen of Shadows,Sarah J. Maas,Length: 20 hrs and 43 mins
The Path of Ascension 4,C. Mantis,Length: 16 hrs and 57 mins
The Last Devil to Die,Richard Osman,Length: 10 hrs and 51 mins
Lord of Chaos,Robert Jordan,Length: 41 hrs and 32 mins
Light Bringer,Pierce Brown,Length: 30 hrs and 8 mins
A Court of Mist and Fury,Sarah J. Maas,Length: 23 hrs and 16 mins
Crown of Midnight,Sarah J. Maas,Length: 12 hrs and 43 mins
The Two Towers,J. R. R. Tolkien,Length: 20 hrs and 46 mins
Outlive,"Peter Attia MD,Bill Gifford - contributor",Length: 17 hrs and 7 mins
Moth,Lily Mayne,Length: 15 hrs and 47 mins
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins
Casting Light,Alice Winters,Length: 9 hrs and 26 mins
Third Eye,Felicia Day,Length: 6 hrs and 56 mins
Too Good to Be True,Kristen Ashley,Length: 11 hrs and 59 mins
The Italian,T L Swan,Length: 16 hrs and 52 mins
Kombucha Curious,Duff McDonald,Length: 2 hrs and 47 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Length: 20 hrs and 36 mins
Green Witchcraft Beginners Handbook,Kara Lawrence,Length: 3 hrs and 54 mins
Last Stand,Anna Mocikat,Length: 8 hrs and 53 mins
Mind Games,Nora Roberts,Length: 14 hrs and 30 mins
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,Length: 33 hrs and 45 mins
Dragonfly in Amber,Diana Gabaldon,Length: 38 hrs and 54 mins
Fell for the Wrong One,Tay Mo'Nae,Length: 11 hrs and 35 mins
Bookshops & Bonedust,Travis Baldree,Length: 8 hrs and 1 min
Kingdom of Ash,Sarah J. Maas,Length: 33 hrs and 11 mins
Heir of Fire,Sarah J. Maas,Length: 17 hrs and 56 mins
It Ends with Us,Colleen Hoover,Length: 11 hrs and 11 mins
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 56 mins
These Thin Lines,Milena McKay,Length: 11 hrs and 45 mins
A Court of Thorns and Roses,Sarah J. Maas,Length: 16 hrs and 7 mins
House of Sky and Breath,Sarah J. Maas,Length: 27 hrs and 42 mins
Clive Cussler: The Corsican Shadow,Dirk Cussler,Length: 12 hrs and 5 mins
The Iliad,"Homer,Emily Wilson - translator",Length: 20 hrs and 23 mins
The Shadow Rising,Robert Jordan,Length: 41 hrs and 13 mins
How to Talk to Anyone,Leil Lowndes,Length: 8 hrs and 59 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 19 hrs and 7 mins
Gryphon in Light,"Mercedes Lackey,Larry Dixon",Length: 14 hrs and 45 mins
Never Finished,David Goggins,Length: 11 hrs and 6 mins
The Well of Ascension,Brandon Sanderson,Length: 28 hrs and 56 mins
How to Be the Love You Seek,Dr. Nicole LePera,Length: 10 hrs
The Wise Man's Fear,Patrick Rothfuss,Length: 42 hrs and 55 mins
The Amityville Horror,Jay Anson,Length: 6 hrs and 28 mins
He Who Fights with Monsters 8,"Shirtaloon,Travis Deverell",Length: 18 hrs and 12 mins
Be Useful,Arnold Schwarzenegger,Length: 6 hrs and 19 mins
Feel-Good Productivity,Ali Abdaal,Length: 9 hrs
Enough,Cassidy Hutchinson,Length: 11 hrs and 36 mins
The Complete Sinful Men Collection,Lauren Blakely,Length: 36 hrs and 38 mins
Random in Death,J. D. Robb,Length: 10 hrs and 45 mins
The Burning Witch 2: A Humorous Romantic Fantasy,Delemhach,Length: 15 hrs and 17 mins
Journey to the Center of the Earth: A Signature Performance by Tim Curry,Jules Verne,Length: 8 hrs and 20 mins
Tower of Dawn,Sarah J. Maas,Length: 22 hrs and 39 mins
Percy Jackson and the Olympians: The Chalice of the Gods,Rick Riordan,Length: 7 hrs and 5 mins
[Psychokinetic] Eyeball Pulling,FreeID,Length: 22 hrs and 3 mins
The Armor of Light,Ken Follett,Length: 21 hrs and 39 mins
Slay,Laurell K. Hamilton,Length: 12 hrs and 35 mins
The Neighborhood Witch,Christopher M. Mason,Length: 10 hrs and 20 mins
Golden Son,Pierce Brown,Length: 19 hrs and 3 mins
The Fires of Heaven,Robert Jordan,Length: 36 hrs and 27 mins
Oathbringer,Brandon Sanderson,Length: 55 hrs and 5 mins
The Alpha's Fated Encounter,Roxie Ray,Length: 21 hrs and 54 mins
World Without,Sarah Lyons Fleming,Length: 16 hrs and 37 mins
The Broken Vows,Catharina Maura,Length: 15 hrs and 45 mins
Remarkably Bright Creatures,Shelby Van Pelt,Length: 11 hrs and 16 mins
The Woman in Me,Britney Spears,Length: 5 hrs and 31 mins
The Stand,Stephen King,Length: 47 hrs and 47 mins
Jackson,Neven Iliev,Length: 18 hrs and 1 min
An Accidental Death,Peter Grainger,Length: 6 hrs and 52 mins
The River's Edge,Joy Ellis,Length: 11 hrs and 24 mins
$100M Leads,Alex Hormozi,Length: 6 hrs
Payback Princess,C.M. Stunich,Length: 25 hrs
A Court of Frost and Starlight,Sarah J. Maas,Length: 6 hrs and 23 mins
Love Life,Matthew Hussey,Length: 12 hrs
The Ballad of Songbirds and Snakes,Suzanne Collins,Length: 16 hrs and 16 mins
The Exchange,John Grisham,Length: 9 hrs and 1 min
Caught Up,Liz Tomforde,Length: 14 hrs and 50 mins
He Who Fights with Monsters 5,"Shirtaloon,Travis Deverell",Length: 20 hrs and 5 mins
He Who Fights with Monsters 9,"Shirtaloon,Travis Deverell",Length: 28 hrs and 3 mins
Prequel,Rachel Maddow,Length: 13 hrs and 9 mins
Ghost Stories: Stephen Fry's Definitive Collection,"Stephen Fry,Washington Irving,M.R. James,Amelia B. Edwards,Robert Louis Stevenson,Algernon Blackwood,Edgar Allan Poe,Charlotte Riddell,Bram Stoker",Length: 8 hrs and 18 mins
Monroe Doctrine: Volume VIII,"James Rosone,Miranda Watson",Length: 14 hrs and 26 mins
Go Tell the Bees That I Am Gone,Diana Gabaldon,Length: 49 hrs and 27 mins
Making It So,Patrick Stewart,Length: 18 hrs and 50 mins
French & Saunders Titting About (Series 4),"Dawn French,Jennifer Saunders",Length: 3 hrs and 10 mins
The Outsider,Stephen King,Length: 18 hrs and 41 mins
Judgment Prey,John Sandford,Length: 11 hrs
The Mystery Guest,Nita Prose,Length: 8 hrs and 23 mins
Rhythm of War,Brandon Sanderson,Length: 57 hrs and 26 mins
Good Luck with That,Kristan Higgins,Length: 15 hrs and 21 mins
Glitter,Shannon Mayer,Length: 8 hrs and 7 mins
10x Is Easier than 2x,"Dan Sullivan,Dr. Benjamin Hardy",Length: 9 hrs and 58 mins
Knot so Lucky,Trilina Pucci,Length: 7 hrs and 18 mins
Worthy,Jada Pinkett Smith,Length: 14 hrs and 57 mins
Behind the Net,Stephanie Archer,Length: 11 hrs and 38 mins
Holly,Stephen King,Length: 15 hrs and 24 mins
Vault,Nicoli Gonnella,Length: 25 hrs and 34 mins
The Sea of Monsters,Rick Riordan,Length: 7 hrs and 55 mins
Raiden,Jaclyn Osborn,Length: 10 hrs and 38 mins
Sylver Seeker,Kennit Kenway,Length: 20 hrs and 29 mins
The Two Towers,J. R. R. Tolkien,Length: 16 hrs and 40 mins
Holding,Alexandria House,Length: 6 hrs and 11 mins
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,Tess Lake,Length: 65 hrs and 31 mins
Greenlights,Matthew McConaughey,Length: 6 hrs and 42 mins
Notorious,Tamara Leigh,Length: 10 hrs and 16 mins
Dom,S.J. Tilly,Length: 12 hrs and 25 mins
Iris Kelly Doesn't Date,Ashley Herring Blake,Length: 11 hrs and 52 mins
Elon Musk,Walter Isaacson,Length: 20 hrs and 27 mins
Witches Get Stuff Done,Molly Harper,Length: 8 hrs and 23 mins
Steel Pot,Curt Stocker,Length: 22 hrs and 59 mins
Pride and Prejudice,Jane Austen,Length: 11 hrs and 35 mins
How to Win Friends & Influence People,Dale Carnegie,Length: 7 hrs and 15 mins
Iron Gold,Pierce Brown,Length: 23 hrs and 23 mins
The Dungeon Anarchist's Cookbook,Matt Dinniman,Length: 16 hrs and 54 mins
The Unfortunate Side Effects of Heartbreak and Magic,Breanne Randall,Length: 12 hrs and 26 mins
State of Bliss,Marie Force,Length: Not Yet Known
Red Rising,Pierce Brown,Length: 16 hrs and 12 mins
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Length: 13 hrs and 52 mins
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
The Running Grave,Robert Galbraith,Length: 34 hrs and 14 mins
Things We Never Got Over,Lucy Score,Length: 16 hrs and 1 min
How Not to Age,Michael Greger MD FACLM,Length: 27 hrs and 58 mins
A Dance with Dragons,George R.R. Martin,Length: 48 hrs and 55 mins
Same as Ever,Morgan Housel,Length: 5 hrs and 46 mins
Dune Messiah,Frank Herbert,Length: 8 hrs and 57 mins
Demon Copperhead,Barbara Kingsolver,Length: 21 hrs and 3 mins
It,Stephen King,Length: 44 hrs and 55 mins
The Path of Ascension: Books 1-3.5,C. Mantis,Length: 70 hrs and 2 mins
The Power of Now,Eckhart Tolle,Length: 7 hrs and 37 mins
Words of Radiance,Brandon Sanderson,Length: 48 hrs and 13 mins
12 Rules for Life,"Jordan B. Peterson,Norman Doidge MD",Length: 15 hrs and 40 mins
Spare,Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
C. S. Lewis Essential Audio Library,C. S. Lewis,Length: 38 hrs and 50 mins
The Lord of the End Times,Josh Reynolds,Length: 16 hrs and 44 mins
Dracula [Audible Edition],Bram Stoker,Length: 15 hrs and 27 mins
Pathfinders,JL Collins,Length: 9 hrs and 10 mins
Fae and Fare,pirateaba,Length: 61 hrs and 4 mins
The Rise and Fall of the Third Reich,William L. Shirer,Length: 57 hrs and 11 mins
Star Wars: Thrawn Ascendancy,Timothy Zahn,Length: 15 hrs and 5 mins
The Dragon Shifter's Mates Boxed Set Books 1-4,Eva Chase,Length: 23 hrs and 32 mins
Killing Floor,Lee Child,Length: 17 hrs and 47 mins
Funny Story,Emily Henry,Length: 11 hrs
The Body Keeps the Score,Bessel A. van der Kolk,Length: 16 hrs and 15 mins
The Case of the Felonious Faire,Drew Hayes,Length: 7 hrs and 46 mins
Starter Villain,John Scalzi,Length: 8 hrs and 5 mins
Can't Hurt Me,David Goggins,Length: 13 hrs and 37 mins
Dune,Frank Herbert,Length: 21 hrs and 2 mins
James Earl Jones Reads The Bible: King James Version,Topics Media Group,Length: 17 hrs and 15 mins
He Who Fights with Monsters 2,"Shirtaloon,Travis Deverell",Length: 22 hrs and 1 min
Project Hail Mary,Andy Weir,Length: 16 hrs and 10 mins
The Way of Kings,Brandon Sanderson,Length: 45 hrs and 30 mins
The Dragon Reborn,Robert Jordan,Length: 24 hrs and 48 mins
Covet,Tracy Wolff,Length: 21 hrs and 39 mins
The Hero of Ages,Brandon Sanderson,Length: 27 hrs and 25 mins
Never Lie,Freida McFadden,Length: 7 hrs and 21 mins
Abduction,John E. Mack,Length: 20 hrs and 2 mins
"Listener's Audio Bible—New International Version, NIV: Complete Bible",Max McLean,Length: 75 hrs and 14 mins
Dark Age,Pierce Brown,Length: 33 hrs and 58 mins
Tipping Point,John O'Brien,Length: 10 hrs and 3 mins
Think and Grow Rich,Napoleon Hill,Length: 9 hrs and 35 mins
Hábitos atómicos,James Clear,Length: 9 hrs and 1 min
Never Split the Difference,Chris Voss,Length: 8 hrs and 7 mins
Black Friend,Ziwe,Length: 4 hrs and 15 mins
He Who Fights with Monsters 4,"Shirtaloon,Travis Deverell",Length: 22 hrs and 20 mins
Atomic Habits,James Clear,Length: 5 hrs and 35 mins
Persepolis Rising,James S. A. Corey,Length: 20 hrs and 34 mins
Pride High,Jay Bell,Length: 14 hrs and 14 mins
The Primal Hunter 5,Zogarth,Length: 17 hrs and 47 mins
Fairy Tale,Stephen King,Length: 24 hrs and 6 mins
The Aspects,Ivan Kal,Length: 36 hrs and 36 mins
House of Earth and Blood (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 10 hrs
Children of Dune,Frank Herbert,Length: 16 hrs and 51 mins
Defiance of the Fall 8,"TheFirstDefier,JF Brink",Length: 23 hrs and 22 mins
Lucky Me,"Rich Paul,Jesse Washington - contributor,LeBron James - foreword",Length: 4 hrs and 46 mins
The End of Everything,Victor Davis Hanson,Length: 15 hrs
Web of Justice,Robin James,Length: 8 hrs and 30 mins
True Believer,Jack Carr,Length: 15 hrs and 44 mins
The Final Empire,Brandon Sanderson,Length: 24 hrs and 39 mins
Tell Her Story,Margot Hunt,Length: 2 hrs and 52 mins
The Tower of Swallows,"Andrzej Sapkowski,David French - Translator",Length: 16 hrs and 25 mins
Starling House,Alix E. Harrow,Length: 12 hrs and 26 mins
Don't Forget Me Tomorrow,A.L. Jackson,Length: 11 hrs and 14 mins
Eldest,Christopher Paolini,Length: 23 hrs and 30 mins
The Subtle Art of Not Giving a F*ck,Mark Manson,Length: 5 hrs and 17 mins
Magic Claims,Ilona Andrews,Length: 7 hrs and 14 mins
Sorry for Your Loss,Michael Cruz Kayne,Length: 1 hr and 23 mins
Brisingr,Christopher Paolini,Length: 29 hrs and 34 mins
"Overlord, Vol. 11 (Light Novel)","Kugane Maruyama,so-bin - illustrator",Length: 10 hrs
Villain for Hire: A Haremlit Slice of Life Adventure,Jay Aury,Length: 7 hrs and 35 mins
Voyager,Diana Gabaldon,Length: 43 hrs and 46 mins
First Strike,Craig Alanson,Length: 16 hrs and 37 mins
Forgot to Say Goodbye,S.L. Scott,Length: 12 hrs and 36 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,Length: 98 hrs and 1 min
The Loyal Wife,Natalie Barelli,Length: 7 hrs and 8 mins
The 7 Habits of Highly Effective People,Stephen R. Covey,Length: 13 hrs and 4 mins
Breaking the Habit of Being Yourself,Joe Dispenza,Length: 10 hrs and 49 mins
Star Wars: The Eye of Darkness (The High Republic),George Mann,Length: 15 hrs
The Hundred Years' War on Palestine,Rashid Khalidi,Length: 10 hrs and 30 mins
I'm Your Guy,Sarina Bowen,Length: 9 hrs and 55 mins
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Length: 24 hrs and 21 mins
Cherish,Tracy Wolff,Length: 17 hrs and 25 mins
Taming Crow,Paula Marinaro,Length: 9 hrs and 17 mins
Counting the Cost,"Jill Duggar,Derick Dillard - contributor,Craig Borlase - contributor",Length: 7 hrs and 7 mins
Detonate,Luna Mason,Length: 8 hrs and 24 mins
Tell Me What You Want,Lucia Franco,Length: 11 hrs and 1 min
Collateral,"Brian Andrews,Jeffrey Wilson",Length: 13 hrs and 7 mins
The Penthouse Affair,Kendall Ryan,Length: 9 hrs and 4 mins
The Return of the King,J. R. R. Tolkien,Length: 21 hrs and 52 mins
Hercule Poirot: The Complete Short Stories,Agatha Christie,Length: 35 hrs and 5 mins
Lone Wolf,Gregg Hurwitz,Length: 12 hrs and 30 mins
Mother-Daughter Murder Night,Nina Simon,Length: 12 hrs and 38 mins
The Covenant of Water,Abraham Verghese,Length: 31 hrs and 16 mins
Extreme Ownership,"Jocko Willink,Leif Babin",Length: 9 hrs and 33 mins
The Hot Zone (The Complete Series),Carly Phillips,Length: 33 hrs and 43 mins
Uriel Ventris: The Chapter's Due,Graham McNeill,Length: 12 hrs and 47 mins
The Girl from Blind River,Gale Massey,Length: 7 hrs and 55 mins
Things We Hide from the Light,Lucy Score,Length: 17 hrs and 36 mins
Nightlord: Penumbra,Garon Whited,Length: 44 hrs and 6 mins
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,Length: 8 hrs and 22 mins
A Fault Against the Dead,Gregory Ashe,Length: 11 hrs and 26 mins
Ready Player Two,Ernest Cline,Length: 13 hrs and 46 mins
Outlander,Diana Gabaldon,Length: 32 hrs and 38 mins
Mushoku Tensei,Rifujin na Magonote,Length: 6 hrs and 58 mins
A Court of Frost and Starlight (Dramatized Adaptation),Sarah J. Maas,Length: 5 hrs and 33 mins
A Game of Thrones,George R.R. Martin,Length: 33 hrs and 46 mins
El método Silva de control mental [The Silva Mind Control Method],"José Silva,Philip Miele",Length: 5 hrs and 54 mins
Beyond the Badge: Rez,Jeanne St. James,Length: 10 hrs and 8 mins
The 4-Hour Body,Timothy Ferriss,Length: 3 hrs and 51 mins
The Eye of the World,Robert Jordan,Length: 29 hrs and 57 mins
Into the Fire,Irene Hannon,Length: 11 hrs and 14 mins
Verity,Colleen Hoover,Length: 8 hrs and 10 mins
God Emperor of Dune,Frank Herbert,Length: 15 hrs and 48 mins
Lessons in Chemistry,Bonnie Garmus,Length: 11 hrs and 55 mins
Vainglorious,Sandy Mitchell,Length: 8 hrs and 35 mins
Building a Non-Anxious Life,Dr. John Delony,Length: 6 hrs and 9 mins
Bounce Back,Travis Mills,Length: 5 hrs and 1 min
Jonathan Abernathy You Are Kind,Molly McGhee,Length: 10 hrs and 11 mins
He Who Fights with Monsters 3,"Shirtaloon,Travis Deverell",Length: 24 hrs and 39 mins
